"Dataset","Model","Metric","Value"
"boston","Lasso","MSE",20.6137148610971
"boston","Lasso","MSE",18.3461319224191
"boston","Lasso","MSE",31.6449834798056
"boston","Lasso","MSE",23.6096726428021
"boston","Lasso","MSE",20.7198417075285
"boston","Lasso","MSE",28.0504690065566
"boston","Lasso","MSE",17.92991854546
"boston","Lasso","MSE",27.5368436591804
"boston","Lasso","MSE",25.6091344388486
"boston","Lasso","MSE",25.514887486009
"boston","Lasso","MAE",3.16025039058537
"boston","Lasso","MAE",3.08879734416823
"boston","Lasso","MAE",3.21023332577511
"boston","Lasso","MAE",3.09113339290284
"boston","Lasso","MAE",3.28303330200917
"boston","Lasso","MAE",3.90628277073662
"boston","Lasso","MAE",3.49834680744257
"boston","Lasso","MAE",3.77543222249941
"boston","Lasso","MAE",3.83573132937673
"boston","Lasso","MAE",3.21088986525335
"boston","Lasso","RMSE",4.54023290824349
"boston","Lasso","RMSE",4.28323848535417
"boston","Lasso","RMSE",5.62538740708634
"boston","Lasso","RMSE",4.8589785596154
"boston","Lasso","RMSE",4.55190528323344
"boston","Lasso","RMSE",5.29626934799927
"boston","Lasso","RMSE",4.23437345370718
"boston","Lasso","RMSE",5.24755597008554
"boston","Lasso","RMSE",5.06054685175906
"boston","Lasso","RMSE",5.05122633486255
"boston","Lasso","R2",0.76499486987406
"boston","Lasso","R2",0.790530077100372
"boston","Lasso","R2",0.585050713947568
"boston","Lasso","R2",0.616566422803175
"boston","Lasso","R2",0.7944100378489
"boston","Lasso","R2",0.674722863799213
"boston","Lasso","R2",0.728816381036677
"boston","Lasso","R2",0.681407772517008
"boston","Lasso","R2",0.718389566138215
"boston","Lasso","R2",0.717409995099235
"boston","Ridge","MSE",20.5150319783722
"boston","Ridge","MSE",18.5393937673291
"boston","Ridge","MSE",31.8672526660779
"boston","Ridge","MSE",23.6728390237825
"boston","Ridge","MSE",20.7653560768601
"boston","Ridge","MSE",28.1390920295646
"boston","Ridge","MSE",17.6421605731596
"boston","Ridge","MSE",27.500875745816
"boston","Ridge","MSE",25.5411510362408
"boston","Ridge","MSE",25.4140270946436
"boston","Ridge","MAE",3.15077331494316
"boston","Ridge","MAE",3.10018015211085
"boston","Ridge","MAE",3.19410946057539
"boston","Ridge","MAE",3.10864209000399
"boston","Ridge","MAE",3.29756962821903
"boston","Ridge","MAE",3.89358541258512
"boston","Ridge","MAE",3.46172495526615
"boston","Ridge","MAE",3.77215149773097
"boston","Ridge","MAE",3.81451758936212
"boston","Ridge","MAE",3.18821971395691
"boston","Ridge","RMSE",4.5293522691851
"boston","Ridge","RMSE",4.30573963069402
"boston","Ridge","RMSE",5.64510873819786
"boston","Ridge","RMSE",4.86547418282972
"boston","Ridge","RMSE",4.55690202625206
"boston","Ridge","RMSE",5.30462930180466
"boston","Ridge","RMSE",4.20025720321501
"boston","Ridge","RMSE",5.24412773927333
"boston","Ridge","RMSE",5.05382538640195
"boston","Ridge","RMSE",5.04123269594289
"boston","Ridge","R2",0.766119896772522
"boston","Ridge","R2",0.788323478787227
"boston","Ridge","R2",0.582136178055522
"boston","Ridge","R2",0.61554056735044
"boston","Ridge","R2",0.793958427378111
"boston","Ridge","R2",0.673695178910281
"boston","Ridge","R2",0.733168617669328
"boston","Ridge","R2",0.681823909448986
"boston","Ridge","R2",0.719137144528632
"boston","Ridge","R2",0.718527073844177
"boston","CART","MSE",22.8875564626137
"boston","CART","MSE",20.3296694798906
"boston","CART","MSE",41.5306575421398
"boston","CART","MSE",17.0507718338571
"boston","CART","MSE",18.0521817734407
"boston","CART","MSE",21.7568827552121
"boston","CART","MSE",11.9942094697193
"boston","CART","MSE",16.531817390537
"boston","CART","MSE",15.8163891744109
"boston","CART","MSE",20.2872825363729
"boston","CART","MAE",3.0783397723856
"boston","CART","MAE",3.08390275997883
"boston","CART","MAE",3.39261328544576
"boston","CART","MAE",2.56451023960404
"boston","CART","MAE",2.81667040923961
"boston","CART","MAE",3.07152967392085
"boston","CART","MAE",2.73875035160667
"boston","CART","MAE",2.88654717069233
"boston","CART","MAE",2.7646139602185
"boston","CART","MAE",3.030008120964
"boston","CART","RMSE",4.78409411096957
"boston","CART","RMSE",4.50884347476053
"boston","CART","RMSE",6.44442841081657
"boston","CART","RMSE",4.12925802461618
"boston","CART","RMSE",4.24878591758171
"boston","CART","RMSE",4.66442737698981
"boston","CART","RMSE",3.46326572323281
"boston","CART","RMSE",4.06593376612765
"boston","CART","RMSE",3.97698242068166
"boston","CART","RMSE",4.50414059909023
"boston","CART","R2",0.739072107041114
"boston","CART","R2",0.767882716829058
"boston","CART","R2",0.455423425725713
"boston","CART","R2",0.723086442699327
"boston","CART","R2",0.82087955014647
"boston","CART","R2",0.747704164460941
"boston","CART","R2",0.818591862402732
"boston","CART","R2",0.808732308176601
"boston","CART","R2",0.826075331512338
"boston","CART","R2",0.775308306786753
"boston","PILOT","MSE",20.821590657522
"boston","PILOT","MSE",13.4928358959317
"boston","PILOT","MSE",6.92609122842452
"boston","PILOT","MSE",17.9588962005064
"boston","PILOT","MSE",17.6163682304562
"boston","PILOT","MSE",23.945388598368
"boston","PILOT","MSE",7.21531509102405
"boston","PILOT","MSE",19.8133282038239
"boston","PILOT","MSE",15.5189078565523
"boston","PILOT","MSE",16.1651850982423
"boston","PILOT","MAE",3.10821509373939
"boston","PILOT","MAE",2.75671477839596
"boston","PILOT","MAE",2.11546138994678
"boston","PILOT","MAE",2.89595472117593
"boston","PILOT","MAE",3.08236556742759
"boston","PILOT","MAE",2.97551714700221
"boston","PILOT","MAE",2.06388504982881
"boston","PILOT","MAE",3.09557030958641
"boston","PILOT","MAE",2.65338878860606
"boston","PILOT","MAE",2.94009175183835
"boston","PILOT","RMSE",4.56306811887813
"boston","PILOT","RMSE",3.67325957372083
"boston","PILOT","RMSE",2.6317468017316
"boston","PILOT","RMSE",4.23779378928546
"boston","PILOT","RMSE",4.19718575124525
"boston","PILOT","RMSE",4.89340255838083
"boston","PILOT","RMSE",2.68613385575329
"boston","PILOT","RMSE",4.45121648584113
"boston","PILOT","RMSE",3.93940450532213
"boston","PILOT","RMSE",4.02059511742258
"boston","PILOT","R2",0.762624997247119
"boston","PILOT","R2",0.845943367966065
"boston","PILOT","R2",0.909180656953011
"boston","PILOT","R2",0.708338022434801
"boston","PILOT","R2",0.825203853925999
"boston","PILOT","R2",0.722325946611747
"boston","PILOT","R2",0.890870934333384
"boston","PILOT","R2",0.770766306972753
"boston","PILOT","R2",0.82934658002673
"boston","PILOT","R2",0.820962575726074
"boston","RandomForest","MSE",6.01002928412224
"boston","RandomForest","MSE",10.7965002994572
"boston","RandomForest","MSE",10.4790519932912
"boston","RandomForest","MSE",15.2053735125049
"boston","RandomForest","MSE",9.51223300876527
"boston","RandomForest","MSE",10.5395810987621
"boston","RandomForest","MSE",5.93849267639814
"boston","RandomForest","MSE",10.999736352418
"boston","RandomForest","MSE",8.09284364474529
"boston","RandomForest","MSE",14.3315040958863
"boston","RandomForest","MAE",1.83695688023531
"boston","RandomForest","MAE",2.37412553208612
"boston","RandomForest","MAE",2.11809932172025
"boston","RandomForest","MAE",2.21579345546635
"boston","RandomForest","MAE",2.07463036366008
"boston","RandomForest","MAE",2.32761651029107
"boston","RandomForest","MAE",1.75291347996691
"boston","RandomForest","MAE",2.43521402141174
"boston","RandomForest","MAE",2.13753584420881
"boston","RandomForest","MAE",2.23844818276687
"boston","RandomForest","RMSE",2.45153610704029
"boston","RandomForest","RMSE",3.28580283940732
"boston","RandomForest","RMSE",3.23713638781118
"boston","RandomForest","RMSE",3.89940681546629
"boston","RandomForest","RMSE",3.08419081912343
"boston","RandomForest","RMSE",3.24647210041333
"boston","RandomForest","RMSE",2.43690227058824
"boston","RandomForest","RMSE",3.31658504374876
"boston","RandomForest","RMSE",2.84479237287105
"boston","RandomForest","RMSE",3.7856973064267
"boston","RandomForest","R2",0.93148310610227
"boston","RandomForest","R2",0.876729214916987
"boston","RandomForest","R2",0.862591960400379
"boston","RandomForest","R2",0.753056687963393
"boston","RandomForest","R2",0.905616092446598
"boston","RandomForest","R2",0.877781553108436
"boston","RandomForest","R2",0.910182417667446
"boston","RandomForest","R2",0.872736666931899
"boston","RandomForest","R2",0.911007175372743
"boston","RandomForest","R2",0.841271500220699
"boston","XGBoost","MSE",6.44611430156888
"boston","XGBoost","MSE",7.96600236130941
"boston","XGBoost","MSE",6.28313542490059
"boston","XGBoost","MSE",11.9409245696042
"boston","XGBoost","MSE",9.71834176546458
"boston","XGBoost","MSE",17.5038196591056
"boston","XGBoost","MSE",8.1123910126789
"boston","XGBoost","MSE",8.50797378202189
"boston","XGBoost","MSE",7.03494394753081
"boston","XGBoost","MSE",6.25021194099379
"boston","XGBoost","MAE",1.95615301865798
"boston","XGBoost","MAE",2.13295337236845
"boston","XGBoost","MAE",1.77574497461319
"boston","XGBoost","MAE",2.22201569127102
"boston","XGBoost","MAE",2.16366213443233
"boston","XGBoost","MAE",2.42148007965088
"boston","XGBoost","MAE",1.82204420052323
"boston","XGBoost","MAE",2.09812690136479
"boston","XGBoost","MAE",1.94046811084358
"boston","XGBoost","MAE",1.68612926894543
"boston","XGBoost","RMSE",2.53891990845889
"boston","XGBoost","RMSE",2.82241073575577
"boston","XGBoost","RMSE",2.50661832453618
"boston","XGBoost","RMSE",3.45556429105351
"boston","XGBoost","RMSE",3.11742550279306
"boston","XGBoost","RMSE",4.18375664434555
"boston","XGBoost","RMSE",2.8482259412973
"boston","XGBoost","RMSE",2.91684311919957
"boston","XGBoost","RMSE",2.65234687541634
"boston","XGBoost","RMSE",2.50004238783941
"boston","XGBoost","R2",0.926511551146669
"boston","XGBoost","R2",0.909046882062226
"boston","XGBoost","R2",0.917611505141185
"boston","XGBoost","R2",0.806073066237255
"boston","XGBoost","R2",0.903571004839899
"boston","XGBoost","R2",0.797023275084703
"boston","XGBoost","R2",0.877302981177188
"boston","XGBoost","R2",0.901565540621516
"boston","XGBoost","R2",0.922640352332558
"boston","XGBoost","R2",0.930775809848083
"boston","LightGBM","MSE",8.13808433621474
"boston","LightGBM","MSE",10.3338899387067
"boston","LightGBM","MSE",6.81732206514998
"boston","LightGBM","MSE",12.9710867786926
"boston","LightGBM","MSE",9.01767000747686
"boston","LightGBM","MSE",14.1522876117779
"boston","LightGBM","MSE",9.95972851643353
"boston","LightGBM","MSE",11.5306438154773
"boston","LightGBM","MSE",8.7381335527267
"boston","LightGBM","MSE",13.5546532844324
"boston","LightGBM","MAE",2.16002876672682
"boston","LightGBM","MAE",2.17636675632542
"boston","LightGBM","MAE",1.81927177187898
"boston","LightGBM","MAE",2.23498317746618
"boston","LightGBM","MAE",2.06917398924045
"boston","LightGBM","MAE",2.21829153911353
"boston","LightGBM","MAE",2.06737184579212
"boston","LightGBM","MAE",2.44598053642072
"boston","LightGBM","MAE",2.15424921743434
"boston","LightGBM","MAE",2.04744785099807
"boston","LightGBM","RMSE",2.85273278387842
"boston","LightGBM","RMSE",3.21463682843128
"boston","LightGBM","RMSE",2.61100020397356
"boston","LightGBM","RMSE",3.60153950119843
"boston","LightGBM","RMSE",3.00294355715802
