"Dataset","Model","Metric","Value"
"boston","RaFFLE","MSE",10.7555969977531
"boston","RaFFLE","MSE",9.37275995823251
"boston","RaFFLE","MSE",9.2071555754716
"boston","RaFFLE","MSE",13.9107687410118
"boston","RaFFLE","MSE",11.4433281779937
"boston","RaFFLE","MSE",17.3844433255123
"boston","RaFFLE","MSE",9.15610582136711
"boston","RaFFLE","MSE",13.2500094092912
"boston","RaFFLE","MSE",8.03346492328455
"boston","RaFFLE","MSE",10.8096005426462
"boston","RaFFLE","MAE",2.09007062764028
"boston","RaFFLE","MAE",2.24918925573004
"boston","RaFFLE","MAE",2.01740712014248
"boston","RaFFLE","MAE",2.3346355774637
"boston","RaFFLE","MAE",2.4204413808721
"boston","RaFFLE","MAE",2.52354881220927
"boston","RaFFLE","MAE",2.32356399031649
"boston","RaFFLE","MAE",2.65226800880945
"boston","RaFFLE","MAE",2.08958702696507
"boston","RaFFLE","MAE",2.03533699432938
"boston","RaFFLE","RMSE",3.27957268523708
"boston","RaFFLE","RMSE",3.06149635933681
"boston","RaFFLE","RMSE",3.03432951003539
"boston","RaFFLE","RMSE",3.72971429750481
"boston","RaFFLE","RMSE",3.38279886750508
"boston","RaFFLE","RMSE",4.16946559231663
"boston","RaFFLE","RMSE",3.02590578527606
"boston","RaFFLE","RMSE",3.64005623710558
"boston","RaFFLE","RMSE",2.83433676956084
"boston","RaFFLE","RMSE",3.28779569660984
"boston","RaFFLE","R2",0.877381612723801
"boston","RaFFLE","R2",0.892985000101928
"boston","RaFFLE","R2",0.879269880641471
"boston","RaFFLE","R2",0.774081754515555
"boston","RaFFLE","R2",0.886455049212972
"boston","RaFFLE","R2",0.798407579636342
"boston","RaFFLE","R2",0.861517167188794
"boston","RaFFLE","R2",0.846701747516028
"boston","RaFFLE","R2",0.911660132525693
"boston","RaFFLE","R2",0.880278324880064
"boston","PRForest","MSE",17.5222492120594
"boston","PRForest","MSE",21.5694886657607
"boston","PRForest","MSE",26.5555307842198
"boston","PRForest","MSE",26.2096462668881
"boston","PRForest","MSE",23.3075608491352
"boston","PRForest","MSE",22.1544760248276
"boston","PRForest","MSE",17.2153392455499
"boston","PRForest","MSE",21.3899333488712
"boston","PRForest","MSE",16.9572086920004
"boston","PRForest","MSE",29.01158384786
"boston","PRForest","MAE",3.29492071719192
"boston","PRForest","MAE",3.47428378868243
"boston","PRForest","MAE",2.71451331458774
"boston","PRForest","MAE",3.43320290451021
"boston","PRForest","MAE",3.41044779354385
"boston","PRForest","MAE",3.21037114369339
"boston","PRForest","MAE",3.27171902325608
"boston","PRForest","MAE",3.3969185406808
"boston","PRForest","MAE",3.33403892119755
"boston","PRForest","MAE",3.37685228549111
